id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
QS9CD49hpMQ,95,5,0,1,100.0,1.0526
JHMmKv7XhfI,773,60,0,16,100.0,2.0699
SrgQEDea-CQ,396,17,3,4,85.0,1.0101
fyt9tIy1g5A,11141,129,7,30,94.9,0.2693
_9BZwpKwtWI,2438,48,3,13,94.1,0.5332
cKGtZdfzkB4,657,10,0,1,100.0,0.1522
vXD8v3CH2vY,60854,1036,24,123,97.7,0.2021
Bx6DR-3B3kg,4694,263,6,31,97.8,0.6604
XqglG22ez1s,1138,4,4,0,50.0,0.0000
RcxVB3aFkUo,2640,99,3,30,97.1,1.1364
CUheOFPgh1k,2624,30,3,5,90.9,0.1905
5FoVz9caqdA,64,7,0,8,100.0,12.5000
Wk1QbpZAhWM,9051,470,21,65,95.7,0.7182
fhu-xVuyhVQ,354,2,0,0,100.0,0.0000
8xCVdaSX1YI,10633,218,3,51,98.6,0.4796
_JKEfJGhubc,22643,268,36,34,88.2,0.1502
xuiJhecQOAA,46,3,0,0,100.0,0.0000
psRnPe4Iju8,452,18,0,2,100.0,0.4425
LcNfU7QFJXA,236,16,0,7,100.0,2.9661
-oGAoVNbGcU,28885,473,19,45,96.1,0.1558
uvJcIf62SqI,78,6,0,0,100.0,0.0000
iJsdCsHk8vM,38,4,0,0,100.0,0.0000
6Qk-wFMc2aM,27630,44,11,28,80.0,0.1013
g_2qIMOIuSU,1084,20,2,5,90.9,0.4613
AtyWc-msECg,16861,124,14,13,89.9,0.0771
ZzdnNA5P-UE,19749,384,13,45,96.7,0.2279
R_0HKvI-0ag,69350,273,27,64,91.0,0.0923
ZMCcoPklhmo,2907,110,2,22,98.2,0.7568
7oBE1KQ7LYo,443,14,0,5,100.0,1.1287
tipmCy8HAlU,2489,37,5,3,88.1,0.1205
HLk8I01uT5A,9418,70,5,14,93.3,0.1487
J4z9RKEuaCo,46,10,0,6,100.0,13.0435
MP6u6GB8gWU,3991,87,0,24,100.0,0.6014
l99bQ_yoc0c,155,7,0,2,100.0,1.2903
fhnKfGW3SCk,18752,446,56,31,88.8,0.1653
imgh0VPJ9Ms,14,1,0,0,100.0,0.0000
QqEhX4Lh2X4,3078,119,4,10,96.7,0.3249
NDkpJOlIUXM,17,3,0,0,100.0,0.0000
Kydf1y0Jj_o,1128,61,1,11,98.4,0.9752
aKdPGK7Lpl8,487,81,1,49,98.8,10.0616
IG3Zc42Og14,1541,129,1,33,99.2,2.1415
AuE8WL499wg,2369,101,6,10,94.4,0.4221
6WnpwmT4Zlc,9179,175,20,14,89.7,0.1525
hJL6a__IWhI,424,30,0,5,100.0,1.1792
7e_MYIK-oEk,331,15,0,11,100.0,3.3233
3CT-MiXZxrQ,10772,434,20,76,95.6,0.7055
2USpkwgiAYI,1974,70,0,31,100.0,1.5704
RtChAc_RCHg,163,5,2,4,71.4,2.4540
rSu7C_Jdr9o,949,40,2,31,95.2,3.2666
Cqphqnj4U64,59,4,0,2,100.0,3.3898
XBbFaYDvkzk,2198,71,5,17,93.4,0.7734
3hE3Z9HVp0M,20331,38,35,23,52.1,0.1131
XSetSexwfhY,289,6,0,2,100.0,0.6920
