id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ls_exrEJ3NQ,22503,200.0,4.0,0,20.0
gp0nnTZasz8,77419,2121.0,59.0,0,128.0
yv-fkhrNQS4,254,6.0,0.0,0,2.0
OdZbimP_m_0,63659,713.0,28.0,0,122.0
gDAb_bzsO4c,480,17.0,0.0,0,7.0
_JKEfJGhubc,22626,268.0,36.0,0,34.0
YMoO_mrE-xw,42023,187.0,6.0,0,49.0
CMavXum1pa8,11488,344.0,9.0,0,46.0
1jIfqi78t7A,88,5.0,0.0,0,1.0
bNSKITuAYRM,43845,571.0,9.0,0,92.0
8trrLnyEFCU,26520,,,0,12.0
0L8Bo689Bvg,309760,4781.0,97.0,0,666.0
GRF5VxCZ3Hc,84342,1655.0,79.0,0,230.0
EyG-AoUrHb4,1743,16.0,6.0,0,9.0
RPyNE2T2XH8,22290,176.0,15.0,0,13.0
KtZSzev9iHw,541,46.0,0.0,0,13.0
UGdCAohSFMA,99144,1018.0,311.0,0,69.0
sMfit4Nstkk,4235,94.0,3.0,0,12.0
fw5edpseC1A,52,1.0,0.0,0,2.0
nz0FKd0cxAE,1484,,,0,17.0
x4sbIC3FGUs,113502,2670.0,37.0,0,181.0
Clk2wU6lMZU,128343,1848.0,126.0,0,210.0
jo8v7kbn_t0,134,6.0,0.0,0,1.0
XxEOphd5aiw,2840,,,0,15.0
Z-V98gaA2So,3777,168.0,3.0,0,44.0
9XVDxttHcdU,17102,84.0,14.0,0,15.0
G7lcwsa_OHM,159922,1638.0,98.0,0,216.0
lHwfVh4uVZw,24506,198.0,16.0,0,61.0
-26b-ULd1Do,186134,3947.0,56.0,0,1074.0
z-CG7mlErUA,75984,472.0,16.0,0,42.0
vXilxZ5-gwQ,61,7.0,0.0,0,4.0
qmF_xo5YKN0,666447,11970.0,561.0,0,480.0
Oe68vN4YjWA,4382,41.0,10.0,0,3.0
bLi716qYqvQ,45583,746.0,30.0,0,161.0
_SVVRVJtjvM,19093,56.0,7.0,0,22.0
G7tPaq9vYTU,116615,977.0,76.0,0,168.0
uEZ0nSXxVkQ,9327,348.0,33.0,0,39.0
CUheOFPgh1k,2587,28.0,3.0,0,3.0
oSLzXUzhtg4,1921,20.0,7.0,0,2.0
5I3j7LC9IHY,52824,177.0,14.0,0,7.0
6BAUcajQo3c,51,4.0,0.0,0,6.0
GbbQxYQNMM8,30465,400.0,8.0,0,104.0
4Cn9uTknJP8,42243,492.0,20.0,0,41.0
IJbnHFmesHc,712,47.0,0.0,0,15.0
5P7wJiyBDmw,278,25.0,0.0,0,12.0
3Zr-8GU1yts,71503,493.0,30.0,0,91.0
j_x36zhyIxw,1664,41.0,8.0,0,13.0
8xCVdaSX1YI,10591,218.0,3.0,0,50.0
svIYUS3RUro,393,85.0,0.0,0,38.0
K3ps67TRzco,168,12.0,0.0,0,1.0
ls5sQ4HnFSU,46764,1231.0,44.0,0,130.0
xoTr7YQ4-CA,17838,42.0,9.0,0,11.0
ztFlrg1FbwY,78457,2834.0,146.0,0,667.0
dIGVDKRKWDw,31301,87.0,5.0,0,40.0
xaie7VUja8s,71,5.0,0.0,0,0.0
wyT0kfTmPf8,783,57.0,0.0,0,3.0
0ZOMN3F26hY,1168,80.0,1.0,0,21.0
jv-ug88xq4Y,38443,602.0,12.0,0,132.0
Pv_t4kmsm6o,379,63.0,0.0,0,29.0
HL74AGvO5mM,46886,863.0,14.0,0,35.0
KYmXZM_MJe4,2337,98.0,2.0,0,35.0
nboduvNpV-0,12908,263.0,9.0,0,26.0
QqEhX4Lh2X4,2977,114.0,3.0,0,10.0
SmA9H_l1dE8,237159,4908.0,88.0,0,501.0
g6mN3__pj1k,979,18.0,2.0,0,3.0
dOjlPMVwLos,150,4.0,1.0,0,0.0
aBcv9Kw1Mww,214261,3479.0,93.0,0,
3EB5kwMEUsE,18547,657.0,14.0,0,47.0
lvNKKKchLx8,1247,61.0,0.0,0,4.0
e71Ds7QdG9o,54807,143.0,46.0,0,34.0
